Birim_Id,Birim_Adi,Birim_Tur_Id,Birim_Tur_Adi,Yoksis_Id_x,Rapor_Sayisi,Yoksis_Id_y,Hedef_Sayisi,Yoksis_Id,Gerceklesen_Hedef,Planlama_Etkinligi,Rapor_Basina_Hedef,Ortalama_Hedef_Gerceklesme,Basari_Duzeyi
69848408.0,KARİYER PLANLAMA ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,69848408.0,2,69848408.0,586,,0,0.0,195.33333333333334,0.0,Orta
69875614.0,KÜLTÜRLERARASI İLETİŞİM ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,69875614.0,134,,0,0.0,134.0,0.0,Orta
71058867.0,OKUL ÖNCESİ ÖĞRETMENLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,71058867.0,1,71058867.0,476,,0,0.0,238.0,0.0,Orta
71608477.0,UZAY BİLİMLERİ VE GÜNEŞ ENERJİSİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,71608477.0,373,,0,0.0,373.0,0.0,Orta
72458785.0,MAKİNE MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,72458785.0,357,,0,0.0,357.0,0.0,Orta
72544736.0,MÜZİK BİLİMLERİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,72544736.0,1,72544736.0,357,,0,0.0,178.5,0.0,Orta
72785209.0,GÜZEL SANATLAR FAKÜLTESİ DEKANLIĞI,0,Tanımsız,72785209.0,1,72785209.0,615,,0,0.0,307.5,0.0,Orta
72821215.0,MERKEZ İDARİ İŞLER KOORDİNATÖRLÜĞÜ,0,Tanımsız,,0,72821215.0,119,,0,0.0,119.0,0.0,Orta
73496254.0,KALİTE KOORDİNATÖRLÜĞÜ,0,Tanımsız,73496254.0,1,73496254.0,819,,0,0.0,409.5,0.0,Orta
74891916.0,GRAFİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,74891916.0,2,74891916.0,357,,0,0.0,119.0,0.0,Orta
75115588.0,ATATÜRK İLKELERİ VE İNKILAP TARİHİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,75115588.0,365,,0,0.0,365.0,0.0,Orta
76028928.0,EBELİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,76028928.0,1,76028928.0,476,,0,0.0,238.0,0.0,Orta
78707876.0,FEN BİLİMLERİ ENSTİTÜSÜ MÜDÜRLÜĞÜ,0,Tanımsız,78707876.0,2,78707876.0,615,,0,0.0,205.0,0.0,Orta
79508372.0,SAĞLIK KÜLTÜR VE SPOR DAİRE BAŞKANLIĞI,0,Tanımsız,,0,79508372.0,710,,0,0.0,710.0,0.0,Orta
80739418.0,TOPRAK BİLİMİ VE BİTKİ BESLEME BÖLÜM BAŞKANLIĞI,0,Tanımsız,80739418.0,3,80739418.0,476,,0,0.0,119.0,0.0,Orta
80777025.0,BİLGİSAYAR VE ÖĞRETİM TEKNOLOJİLERİ EĞİTİMİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,80777025.0,2,80777025.0,476,,0,0.0,158.66666666666666,0.0,Orta
81362332.0,DIŞ İLİŞKİLER BİRİMİ,0,Tanımsız,,0,81362332.0,493,,0,0.0,493.0,0.0,Orta
82252433.0,TÜMÖR ARAŞTIRMA VE TEDAVİ UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,82252433.0,135,,0,0.0,135.0,0.0,Orta
82295611.0,İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI,0,Tanımsız,82295611.0,3,82295611.0,689,,0,0.0,172.25,0.0,Orta
82450252.0,İLETİŞİM BİLİMLERİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,82450252.0,1,82450252.0,357,,0,0.0,178.5,0.0,Orta
84436893.0,OTOMOTİV MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,84436893.0,3,84436893.0,595,,0,0.0,148.75,0.0,Orta
84610074.0,TEKSTİL VE MODA TASARIM BÖLÜM BAŞKANLIĞI,0,Tanımsız,84610074.0,1,84610074.0,476,,0,0.0,238.0,0.0,Orta
84900206.0,İSTATİSTİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,84900206.0,476,,0,0.0,476.0,0.0,Orta
85391342.0,SAĞLIKLI YAŞAM VE SPOR BİLİMLERİ UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,85391342.0,1,85391342.0,243,,0,0.0,121.5,0.0,Orta
85700757.0,HALİL AVCI DUYMA ENGELLİ VE ÖZÜRLÜLERİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,85700757.0,2,85700757.0,492,,0,0.0,164.0,0.0,Orta
86442031.0,KÜTÜPHANE VE DOKÜMANTASYON DAİRE BAŞKANLIĞI,0,Tanımsız,86442031.0,3,86442031.0,707,,0,0.0,176.75,0.0,Orta
86579176.0,CEYHAN MÜHENDİSLİK FAKÜLTESİ DEKANLIĞI,0,Tanımsız,86579176.0,1,86579176.0,387,,0,0.0,193.5,0.0,Orta
87207590.0,EKONOMETRİ ANABİLİM DALI BAŞKANLIĞI,0,Tanımsız,87207590.0,1,87207590.0,357,,0,0.0,178.5,0.0,Orta
88443122.0,TARIM EKONOMİSİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,88443122.0,1,88443122.0,357,,0,0.0,178.5,0.0,Orta
88625494.0,RESİM-İŞ ÖĞRETMENLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,88625494.0,1,88625494.0,476,,0,0.0,238.0,0.0,Orta
89185944.0,SU ÜRÜNLERİ FAKÜLTESİ DEKANLIĞI,0,Tanımsız,89185944.0,2,89185944.0,481,,0,0.0,160.33333333333334,0.0,Orta
90007838.0,ARKEOLOJİK ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,90007838.0,16,,0,0.0,16.0,0.0,Orta
90731410.0,MİMARLIK FAKÜLTESİ DEKANLIĞI,0,Tanımsız,,0,90731410.0,734,,0,0.0,734.0,0.0,Orta
91283923.0,TARIMSAL YAPILAR VE SULAMA BÖLÜM BAŞKANLIĞI,0,Tanımsız,91283923.0,3,91283923.0,357,,0,0.0,89.25,0.0,Orta
91734988.0,BEDEN EĞİTİMİ ÖĞRETMENLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,91734988.0,357,,0,0.0,357.0,0.0,Orta
92458542.0,İÇ MİMARLIK BÖLÜM BAŞKANLIĞI,0,Tanımsız,92458542.0,2,92458542.0,595,,0,0.0,198.33333333333334,0.0,Orta
93386610.0,ABDİ SÜTCÜ SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,93386610.0,2,93386610.0,838,,0,0.0,279.3333333333333,0.0,Orta
93527295.0,KİŞİSEL VERİLERİN KORUNMASI BİRİMİ,0,Tanımsız,93527295.0,1,93527295.0,483,,0,0.0,241.5,0.0,Orta
94871493.0,SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,94871493.0,1,94871493.0,506,,0,0.0,253.0,0.0,Orta
95874904.0,MERKEZİ ARAŞTIRMA LABORATUVARI,0,Tanımsız,95874904.0,1,95874904.0,238,,0,0.0,119.0,0.0,Orta
96078650.0,TIP FAKÜLTESİ DEKANLIĞI,0,Tanımsız,96078650.0,2,96078650.0,734,,0,0.0,244.66666666666666,0.0,Orta
96291591.0,PEYZAJ MİMARLIĞI BÖLÜM BAŞKANLIĞI,0,Tanımsız,96291591.0,2,96291591.0,476,,0,0.0,158.66666666666666,0.0,Orta
